Name,Address,City,Region,Country
Sherwood Inn,36071 Plymouth Road,Livonia,Michigan,USA
Sherwood Lounge,,Loves Park,Illinois,USA
Sherwood Rooms,,Nottingham,East Midlands,England
Shi Kokaido,,Niigata,Chūbu,Japan
Shiawassee County Fairgrounds,2900 E. Hibbard Road,Corunna,Michigan,USA
Shibuya-AX,2-1-1 Jinnan,Tokyo,Shibuya,Japan
Shinjuku Pit Inn,,Tokyo,,Japan
Shirley's Lounge,22318 E. 9 Mile Road,Saint Clair Shores,Michigan,USA
Shizuoka Kokaido,,Shizuoka,Chūbu,Japan
Shop Stop Bar,114 Clare Street,Lansing,Michigan,USA
Shoreline Amphitheatre,1 Amphitheatre Parkway,Mountain View,California,USA
Show Me Center Arena,1333 N. Sprigg Street,Cape Girardeau,Missouri,USA
Showboat Lounge,1033 Washington Boulevard,Detroit,Michigan,USA
Showbox Theatre,1426 First Avenue,Seattle,Washington,USA
Showcase Theater,8041 Harper Avenue,Detroit,Michigan,USA
Showcase Theatre,683 S. Main Street,Corona,California,USA
Showers Club,8606 Haller Street,Westland,Michigan,USA
Showplace Theatre,1063 Grant Street,Buffalo,New York,USA
Shreveport Municipal Memorial Auditorium,705 Elvis Presley Avenue,Shreveport,Louisiana,USA
Shrine Auditorium,665 W. Jefferson Boulevard,Los Angeles,California,USA
Shrine Mosque,601 E. St. Louis Street,Springfield,Missouri,USA
Shrine of the Black Madonna,7625 Linwood Steet,Detroit,Michigan,USA
Shubert Theatre,247 College Street,New Haven,Connecticut,USA
Shubert Theatre (PA),250 S. Broad Street,Philadelphia,Pennsylvania,USA
Shubert-Lafayette Theater,153 W. Lafayette Avenue,Detroit,Michigan,USA
Shula's,,Niles,Michigan,USA
Sibi,151 E. 50th Street,NYC,New York,USA
Side Door Lounge,2101 S. Telegraph Road,Dearborn,Michigan,USA
Side Door Saloon,1523 S. Mission Street,Mount Pleasant,Michigan,USA
Sideshow Music Hall,1830 Abbott Road,Lackawanna,New York,USA
Sidestreet Lounge,2179 Fort Park Boulevard,Lincoln Park,Michigan,USA
Sidra Records Inc.,18292 Wyoming Street,Detroit,Michigan,USA
Siena College,515 Loudon Street,Loudonville,New York,USA
Sierra Afrique Club,19235 Plymouth Road,Detroit,Michigan,USA
Sierra Station,15110 Mack Avenue,Grosse Pointe Park,Michigan,USA
Sigma Chi,548 S. State Street,Ann Arbor,Michigan,USA
Sigma Sound Studios,212 N. 12th Street,Philadelphia,Pennsylvania,USA
Sign of the Zodiac,16117 Mack Avenue,Detroit,Michigan,USA
Signorelli's Club,1717 N. Main Street,St. Martinville,Louisiana,USA
Silo Tavern & Grill,41270 Hayes Road,Clinton Township,Michigan,USA
Silver Blades Ice Rink,High Road,London,Streatham,England
Silver Dollar Room,486 Spadina Avenue,Toronto,Ontario,Canada
Silver Dollar Saloon,3411 E. Michigan Avenue,Lansing,Michigan,USA
Silver Dome,,Marinette,Wisconsin,USA
Silver Lake Rec-Plex,1511 N. Wilson Avenue,Mears,Michigan,USA
Silver Lake State Park,9679 W. State Park Road,Mears,Michigan,USA
Silver Ridge Resort,South Road,Farwell,Michigan,USA
Silver Springs Station,,Silver Springs,Maryland,USA
Silverbell Hideout,Bald Mountain Road,Auburn Hills,Michigan,USA
Silverbird Saloon,24052 W. McNichols Avenue,Detroit,Michigan,USA
Silverwoodstock,3900 Mayville Road,Silverwood,Michigan,USA
Simon Fraser University,,Vancouver,British Columbia,Canada
Simon's,4936 Allen Road,Allen Park,Michigan,USA
Sinclair Auditorium,First Avenue NE,Cedar Rapids,Iowa,USA
Sindbad's on the River,100 Saint Clair Street,Detroit,Michigan,USA
Sindrome Disco,23914 Ford Road,Dearborn Heights,Michigan,USA
Singer Concertzaal,Old Drift 1,Laren,North Holland,Netherlands
Sioux City Municipal Auditorium,401 Gordon Drive,Sioux City,Iowa,USA
Sioux Falls Arena,1201 N. West Avenue,Sioux Falls,South Dakota,USA
Sioux Falls Convention Center,1101 N. West Avenue,Sioux Falls,South Dakota,USA
Sip N' Chat Lounge,9933 Greenfield Road,Detroit,Michigan,USA
Sippin' Lizzard Coffee House,2202 Lewis Street,Flint,Michigan,USA
Sisko's,5855 Monroe Boulevard,Taylor,Michigan,USA
Sit 'n' Spin,2219 Fourth Avenue,Seattle,Washington,USA
SIU Arena,1400 Arena Drive,Carbondale,Illinois,USA
Six Flags Great Adventure,1 Six Flags Boulevard,Jackson Township,New Jersey,USA
Six Grand,6905 Schaefer Road,Dearborn,Michigan,USA
Six Shooters,8845 Gratiot Avenue,Saginaw,Michigan,USA
Skatarena,25th & Schofield,Indianapolis,Indiana,USA
Skateland,37500 Cherry Hill Road,Westland,Michigan,USA
Skelletones,133 Division Avenue S,Grand Rapids,Michigan,USA
Skewer's,Rittenhouse Square,Philadelphia,Pennsylvania,USA
Skipper's,17320 Harper Avenue,Detroit,Michigan,USA
Skipper's Smokehouse,910 Skipper Road,Tampa,Florida,USA
SKK Peterburgsky,"8, Yu. Gagarina av.",St. Petersburg,,Russia
SkyDome,1 Blue Jays Way,Toronto,Ontario,Canada
Skylight Lounge,15246 Southfield Road,Allen Park,Michigan,USA
Skylights,49 N. Saginaw Street,Pontiac,Michigan,USA
Skyliner Ballroom,2238 Jacksboro Highway,Fort Worth,Texas,USA
Skylon Towers,,Niagara Falls,Ontario,Canada
Slak Lounge,2826 N. Miami Avenue,Miami,Florida,USA
Slammer's,27200 Cherry Hill Road,Dearborn Heights,Michigan,USA
Slane Castle,,Slane,County Meath,Ireland
Slauson School Auditorium,1019 W. Washington,Ann Arbor,Michigan,USA
Sleep Train Amphitheatre,2677 Forty Mile Road,Marysville,California,USA
Sleep Train Arena,1 Sports Parkway,Sacramento,California,USA
Slim's,333 11th Street,San Francisco,California,USA
Slow Bar,1024 Woodland Street,Nashville,Tennessee,USA
Slugs',242 E. Third Street,NYC,New York,USA
Small Planet (1),225 Ann Street,East Lansing,Michigan,USA
Small Planet (2),220 MAC Avenue,East Lansing,Michigan,USA
Small Planet (3),16800 Chandler Road,East Lansing,Michigan,USA
Small's,10339 Conant Avenue,Hamtramck,Michigan,USA
Smiler's Too,2700 E. Michigan Avenue,Lansing,Michigan,USA
Smiling Moose,1306 E. Carson Street,Pittsburgh,Pennsylvania,USA
Smirnoff Music Centre,3839 S. Fitzhugh Avenue,Dallas,Texas,USA
Sneakers Pub,22628 Woodward Avenue,Ferndale,Michigan,USA
Soap Creek Saloon,1201 S. Congress Avenue,Austin,Texas,USA
Soaring Eagle Casino,6800 Soaring Eagle Boulevard,Mount Pleasant,Michigan,USA
Society Nightclub,6810 S. Cedar Street,Lansing,Michigan,USA
Soft Rock Cafe,1925 W. Fourth Avenue,Vancouver,British Columbia,Canada
Soho Lounge,217 E. Sixth Street,Austin,Texas,USA
Solar Culture,31 E. Toole Avenue,Tucson,Arizona,USA
Soldier Field,1410 S. Museum Campus Drive,Chicago,Illinois,USA
Soldiers & Sailors Memorial Coliseum,300 Court Street,Evansville,Indiana,USA
Soledad Prison,Highway 101 North,Soledad,California,USA
SOMA San Diego (II),Metro Street,San Diego,California,USA
Somerset County College,118 Lamington Road,North Branch,New Jersey,USA
Somerset Mall,2800 W. Big Beaver Road,Troy,Michigan,USA
Somerville Theatre,55 Davis Square,Somerville,Massachusetts,USA
Something Different,Northwestern Highway & 12 Mile Road,Southfield,Michigan,USA
Sommet Center,501 Broadway,Nashville,Tennessee,USA
Song Shop Saloon,4644 Cass Avenue,Detroit,Michigan,USA
Sonny's,515 N. Broadway,Milwaukee,Wisconsin,USA
Sonny's Slave Market,7548 Fenkell Street,Detroit,Michigan,USA
Sonoma County Fairground,1350 Bennett Valley Road,Santa Rosa,California,USA
Sons & Daughters Hall,1057 Hamilton Avenue NW,Grand Rapids,Michigan,USA
Sony CBS Studios,,Tokyo,Shinanomachi,Japan
Sony Centre,1 Front Street E,Toronto,Ontario,Canada
Sooner Theatre,101 E. Main Street,Norman,Oklahoma,USA
Sophia Gardens Pavilion,,Cardiff,South Glamorgan,Wales
Sorcerer Sound Recording Studios,19 Mercer Street,NYC,New York,USA
Soul City,3929 Woodward Avenue,Detroit,Michigan,USA
Soul Train Club,412 Broadway,San Francisco,California,USA
Sound Advice Amphitheatre,601-7 Sansburys Way,West Palm Beach,Florida,USA
Sound Factory,6357 Selma Avenue,Hollywood,California,USA
Sound Heights Studio,,Brooklyn Heights,New York,USA
Sound Ideas Studios,151 W. 46th Street,NYC,New York,USA
Sound Labs,,Los Angeles,California,USA
Sound On Sound Studios,,NYC,New York,USA
Soundteam Godzinsky Studio,Kelokuja 1,Kirkkonummi,Uusimaa,Finland
Soup Kitchen,1585 Franklin Street,Detroit,Michigan,USA
South Forest Co-Op,923 S. Forest Avenue,Ann Arbor,Michigan,USA
South Hills Theatre,3075 W. Liberty Avenue,Dormont,Pennsylvania,USA
South Lyon Hotel,201 N. Lafayette Street,South Lyon,Michigan,USA
South Quad,600 E. Madison Street,Ann Arbor,Michigan,USA
South Sea Restaurant,1701 Cass Avenue,Detroit,Michigan,USA
Southampton Gaumont,Commercial Road,Southampton,Hampshire,England
Southern Alberta Jubilee Auditorium,1415 14th Avenue NW,Calgary,Alberta,Canada
Southern Illinois University,1 Hairpin Drive,Edwardsville,Illinois,USA
Southfield Centre for the Arts,24350 Southfield Road,Southfield,Michigan,USA
Southfield Civic Center,26000 Evergreen Road,Southfield,Michigan,USA
Southfield High School,24675 Lahser Road,Southfield,Michigan,USA
Southfield Plaza Hotel,16400 J.L. Hudson Drive,Southfield,Michigan,USA
Southfield Town Center,,Southfield,Michigan,USA
Southfield-Lathrup High School,19301 W. 12 Mile Road,Southfield,Michigan,USA
Southgate House,111 E. Sixth Street,Newport,Kentucky,USA
Southgate Palace,,Los Angeles,California,USA
Southpark Meadows,IH-35 S,Austin,Texas,USA
Southpaw,125 Fifth Avenue,Brooklyn,New York,USA
Southport Theatre,,Southport,Merseyside,England
Southside Drive-In,13972 N. Tamiami Trail,Fort Myers,Florida,USA
Sovereign Bank Arena,81 Hamilton Avenue,Trenton,New Jersey,USA
Sovereign Center,700 Penn Street,Reading,Pennsylvania,USA
Space,415 E. Congress Street,Detroit,Michigan,USA
Spaceland,1717 Silver Lake Boulevard,Los Angeles,California,USA
Spanky's,,Detroit,Michigan,USA
Spant!,Doctor Abraham Kuyperlaan 3,Bussum,North Holland,Netherlands
Sparrow's Beach,,Annapolis,Maryland,USA
Sparta Rodeo,2500 13 Mile Road,Sparta,Michigan,USA
Spartan Stadium,Michigan State University,East Lansing,Michigan,USA
Spartanburg Memorial Auditorium,385 N. Church Street,Spartanburg,South Carolina,USA
Sparty's,410 Clippert Street,Lansing,Michigan,USA
Speakeazy,1703 Cass Avenue,Detroit,Michigan,USA
Spectrum Studios,3015 Ocean Front Walk,Venice,California,USA
Speedboat Bar & Grill,8635 Cooley Lake Road,Union Lake,Michigan,USA
Speedway Meadow,Golden Gate Park,San Francisco,California,USA
Spijk en Bremerberg,,Biddinghuizen,Flevoland,The Netherlands
Spokane Coliseum,Boone Street,Spokane,Washington,USA
Spokane Convention Center,334 W. Spokane Falls Boulevard,Spokane,Washington,USA
Sportree's Music Bar,2014 Hastings Street,Detroit,Michigan,USA
Sports Bar & Grill,166 Maple Street,Wyandotte,Michigan,USA
Sportsman's Park,28 Mile Road @ Havenridge Road,Mount Clemens,Michigan,USA
Sportsmen's Den,15001 Sibley Road,Riverview,Michigan,USA
Sportsmen's Tavern,326 Amherst Street,Buffalo,New York,USA
Spotlite Club,56 W. 52nd Street,NYC,New York,USA
Spotlite Lounge,1300 Rhode Island Avenue NE,Washington,District of Columbia,USA
Spring Arbor University,106 E. Main Street,Spring Arbor,Michigan,USA
Springfield Civic Center,1277 Main Street,Springfield,Massachusetts,USA
Springfield Oaks County Park,12451 Andersonville Road,Davisburg,Michigan,USA
Springwater,115 27th Avenue N,Nashville,Tennessee,USA
Sprint Center,1407 Grand Boulevard,Kansas City,Missouri,USA
Squeeze,3370 W. Huron Street,Waterford,Michigan,USA
Squeeze (FL),2 S. New River Drive,Fort Lauderdale,Florida,USA
Squeeze Inn,14194 Gratiot Avenue,Detroit,Michigan,USA
SSE Hydro,Exhibition Way,Glasgow,,Scotland
St. Albans City Hall,,St. Albans,Hertfordshire,England
St. Albertus,4231 St. Aubin Street,Detroit,Michigan,USA
St. Andrew Memorial Episcopal Church,5105 Anthony Wayne Drive,Detroit,Michigan,USA
St. Andrew's Hall,431 E. Congress Avenue,Detroit,Michigan,USA
St. Andrew's Wesley Church,1022 Nelson Street,Vancouver,British Columbia,Canada
St. Antoine YMCA,St. Antoine Street,Detroit,Michigan,USA
St. Bedes Hall,,Southfield,Michigan,USA
St. Cecilia's,24 Ransom Avenue NE,Grand Rapids,Michigan,USA
St. Clair College,2000 Talbot Road W,Windsor,Ontario,Canada
St. Clair Shores Civic Arena,20000 Stephens Street,St. Clair Shores,Michigan,USA
St. David High School,8030 Outer Drive E,Detroit,Michigan,USA
St. David's Hall,9-11 The Hayes,Cardiff,,Wales
St. Denis Athletic & Community Center,College Avenue,Windsor,Ontario,Canada
St. Denis Hall,University of Windsor,Windsor,Ontario,Canada
St. Dominic's Church,4844 Trumbell Avenue,Detroit,Michigan,USA
St. Edmund Church,14025 Twelve Mile Road,Warren,Michigan,USA
St. George Theatre,25 Hyatt Street,Staten Island,New York,USA
St. Gregory School Auditorium,144 W. 90th Street,NYC,New York,USA
St. James Infirmary,22 Seventh Avenue,NYC,New York,USA
St. Joan of Arc,22415 Overlake Street,Saint Clair Shores,Michigan,USA
St. John Arena,410 Woody Hayes Drive,Columbus,Ohio,USA
St. John Church & Student Center,327 M.A.C. Avenue,East Lansing,Michigan,USA
St. John's Alumni Hall,800 Utopia Parkway,Queens,New York,USA
St. John's Hall,Lower Castle Street,Tralee,County Kerry,Ireland
St. John's Parish,,East Lansing,Michigan,USA
St. Joseph Gym,604 N. Laurel Street,Hazleton,Pennsylvania,USA
St. Joseph's Performance Center,804 Fayetteville Street,Durham,North Carolina,USA
St. Lawrence High School,44429 Utica Road,Utica,Michigan,USA
St. Louis Arena,5700 Oakland Avenue,St. Louis,Missouri,USA
St. Mary Catholic Church,730 Lafayette Avenue,Royal Oak,Michigan,USA
St. Mary's College,3535 Indian Trail,Orchard Lake,Michigan,USA
St. Mary's Park,111 W. Elm Avenue,Monroe,Michigan,USA
St. Norbert College,100 Grant Street,De Pere,Wisconsin,USA
St. Paul Auditorium,175 W. Kellogg Boulevard,St. Paul,Minnesota,USA
St. Paul Civic Center,175 W. Kellogg Boulevard,St. Paul,Minnesota,USA
St. Paul Civic Center Theatre,143 W. Fourth Street,St. Paul,Minnesota,USA
St. Pete Times Forum,401 Channelside Drive,Tampa,Florida,USA
St. Peter's Church,E. Eight Mile Road,Detroit,Michigan,USA
St. Petersburg Armory,3601 38th Avenue S,St. Petersburg,Florida,USA
St. Petersburg State Theatre,687 Central Avenue N,St. Petersburg,Florida,USA
St. Thomas More,4500 N. Adams Road,Troy,Michigan,USA
Stabler Arena,124 Goodman Drive,Bethlehem,Pennsylvania,USA
Stade Charles-Ehrmann,155 Route de Grenoble,Nice,Provence-Alpes-Côte d'Azur,France
Stade de France,ZAC du Cornillon Nord,Saint-Denis,,France
Stadio Artemio Franchi,"Viale Manfredo Fanti, 4a",Florence,Tuscany,Italy
Stadio delle Alpi,,Turin,Piedmont,Italy
Stadio Flaminio,Viale dello Stadio Flaminio,Rome,,Italy
Stadio Friuli,2 Viale Candolini,Udine,Friuli-Venezia Giulia,Italy
Stadio Olimpico,Viale dei Gladiatori,Rome,,Italy
Stadion Feijenoord,Van Zandvlietplein 1,Rotterdam,South Holland,Netherlands
Stadion Schwansbell,Schwansbeller Weg 3,Lünen,North Rhine-Westphalia,Germany
Stadium Arena,2500 Turner Avenue NW,Grand Rapids,Michigan,USA
Stadt-Casino Basel,Steinenberg 14,Basel,Basel-Stadt,Switzerland
Stadthalle Bremen,Findorffstraße 101,Bremen,,Germany
Stadthalle Erlangen,Rathauspl.,Erlangen,Bavaria,Germany
Stadthalle Freiburg,,Freiburg,Baden-Württemberg,Germany
Stadthalle Karlsruhe,Festplatz 9,Karlsruhe,Baden-Württemberg,Germany
Stadthalle Offenbach,Waldstraße 312,Offenbach,Hesse,Germany
Stadthalle Sindelfingen,Schillerstraße 23,Sindelfingen,Baden-Württemberg,Germany
Stage AE,400 N. Shore Drive,Pittsburgh,Pennsylvania,USA
Stage Door One,8229 Linwood Street,Detroit,Michigan,USA
Stage on Sixth,508 E. Sixth Street,Austin,Texas,USA
Stage West,165 Dexter Avenue,West Hartford,Connecticut,USA
Stagecoach Lounge,5770 E. Pickard Road,Mount Pleasant,Michigan,USA
Stambaugh Auditorium,1000 Fifth Avenue,Youngstown,Ohio,USA
Stamford High School,55 Strawberry Hill Avenue,Stamford,Connecticut,USA
Stampede Corral,10 Corral Trail SE,Calgary,Alberta,Canada
Stampen,Stora Nygatan 5,Stockholm,Södermanland & Uppland,Sweden
Stan's Dugout,40000 Garfield Road,Clinton Township,Michigan,USA
Stan's Dugout,3350 Auburn Road,Auburn Hills,Michigan,USA
Stanford Memorial Auditorium,551 Serra Mall,Stanford,California,USA
Stanhope House,2 High Street,Stanhope,New Jersey,USA
Stanley Theatre,803 Liberty Avenue,Pittsburgh,Pennsylvania,USA
Stanley's,340 Pitt Street,Windsor,Ontario,Canada
Stanley's Mania Café,Baltimore Street,Detroit,Michigan,USA
Staples Center,1111 S. Figueroa Street,Los Angeles,California,USA
Staples High School,70 North Avenue,Westport,Connecticut,USA
Star Bar,109 N. Main Street,Ann Arbor,Michigan,USA
Star Community Bar,437 Moreland Avenue NE,Atlanta,Georgia,USA
Star Lake Amphitheater,665 Route 18,Burgettstown,Pennsylvania,USA
Star Plaza Theatre,8001 Delaware Place,Merrillville,Indiana,USA
Stardust Ballroom,5612 Sunset Boulevard,Hollywood,California,USA
Starlight Bowl,1249 Lockheed View Drive,Burbank,California,USA
Starlight Room,,Boston,Lincolnshire,England
Starlight Theatre,4600 Starlight Road,Kansas City,Missouri,USA
Starlite Arena,1634 Pennsylvania Avenue,Baltimore,Maryland,USA
Starlite Room,10235 Woodward Avenue,Detroit,Michigan,USA
Starplex Amphitheatre,3839 S. Fitzhugh Avenue,Dallas,Texas,USA
Starr Auditorium,901 S. State Street,Big Rapids,Michigan,USA
Starry Night,8 NW Sixth Avenue,Portland,Oregon,USA
Stars,626 S. Second Street,Philadelphia,Pennsylvania,USA
Stars & Stripes Festival,31 N. Walnut Street,Mount Clemens,Michigan,USA
Starwood Amphitheatre,3839 Murfreesboro Road,Antioch,Tennessee,USA
State Bar & Grill,2101 Woodward Avenue,Detroit,Michigan,USA
State House,416 W. Huron Street,Ann Arbor,Michigan,USA
State Music Hall,27 E. Main Street,Uniontown,Pennsylvania,USA
State Theater,2115 Woodward Avenue,Detroit,Michigan,USA
State Theatre New Jersey,15 Livingston Avenue,New Brunswick,New Jersey,USA
State-Wayne Theater,35310 W. Michigan Avenue,Wayne,Michigan,USA
Statenhal,,The Hague,South Holland,The Netherlands
Statler Hotel,1539 Washington Boulevard,Detroit,Michigan,USA
Steamer Columbia,First Street Dock,Detroit,Michigan,USA
Steamer Put-in-Bay,First Street Dock,Detroit,Michigan,USA
Steel Inn Lounge,7744 W. Jefferson Avenue,Detroit,Michigan,USA
Steel Pier,1000 Boardwalk,Atlantic City,New Jersey,USA
Stefaniensaal,Sparkassenplatz 1,Graz,Styria,Austria
Stella Blue,31 Patton Avenue,Asheville,North Carolina,USA
Stepan Center,,South Bend,Indiana,USA
Stephens Auditorium,1900 Center Drive,Ames,Iowa,USA
Steve Paul's Scene,301 W. 46th Street,NYC,New York,USA
Steve's Place,439 E. Congress Street,Detroit,Michigan,USA
Stingray's,,Saginaw,Michigan,USA
Stockton Auditorium,425 N. El Dorado Street,Stockton,California,USA
Stokely Athletic Center,1720 Volunteer Boulevard,Knoxville,Tennessee,USA
Stompanado's,3722 Lexington Road,Louisville,Kentucky,USA
Stone Balloon,115 E. Main Street,Newark,Delaware,USA
Stone Hearth,103 N. Park Street,Madison,Wisconsin,USA
Stone Pony,913 Ocean Avenue,Asbury Park,New Jersey,USA
Stonehouse Bar & Grill,19803 Ralston Street,Highland Park,Michigan,USA
Stony Brook University,100 Nicolls Road,Stony Brook,New York,USA
Stork Club,2330 Telegraph Avenue,Oakland,California,USA
StoryTowne,41 E. 58th Street,NYC,New York,USA
Storyville,47 Huntington Avenue,Boston,Massachusetts,USA
Storyville (NYC),41 E. 58th Street,NYC,New York,USA
Stowe Playhouse,Mount Mansfield Road,Burlington,Vermont,USA
Stoyan's,36071 Plymouth Road,Livonia,Michigan,USA
Straight Theatre,1702 Haight Street,San Francisco,California,USA
Stranahan Theater,4645 Heatherdowns Boulevard,Toledo,Ohio,USA
Strand Theater - Grand Rapids,212-216 Monroe Street NW,Grand Rapids,Michigan,USA
Strand Theater - Lansing,217 S. Washington Street,Lansing,Michigan,USA
Strand Theatre - Pontiac,12 N. Saginaw Street,Pontiac,Michigan,USA
Strata Concert Gallery (1),2554 Michigan Avenue,Detroit,Michigan,USA
Strata Concert Gallery (2),46 Selden Street,Detroit,Michigan,USA
Stratford Ballroom,735 Barnum Avenue,Stratford,Connecticut,USA
Stray Katz,24587 W. Eight Mile Road,Detroit,Michigan,USA
Street Corner Music,17620 W. 13 Mile Road,Franklin,Michigan,USA
Streeters Entertainment Center,1669 S. Garfield Avenue,Traverse City,Michigan,USA
Striker's Lounge,15246 Southfield Road,Allen Park,Michigan,USA
Strings 'n' Things,1800 S. Woodward Avenue,Birmingham,Michigan,USA
Struthers Field House,111 Euclid Street,Struthers,Ohio,USA
Struttin' Club,21530 Gratiot Avenue,East Detroit,Michigan,USA
Stubb's,801 Red River Street,Austin,Texas,USA
Studentbyen Jazz Club,,Oslo,Østlandet,Norway
Studio 44,Herenstraat 44,Monster,South Holland,Netherlands
Studio 54,1703 Cass Avenue,Detroit,Michigan,USA
Studio 8H,30 Rockefeller Plaza,NYC,New York,USA
Studio Bogolan,Quinzambougou,Bamako,,Mali
Studio Davout,73 Boulevard Davout,Paris,Île-de-France,France
Studio Lounge,6921 Wayne Road,Westland,Michigan,USA
Studio Technisonor,,Paris,Île-de-France,France
Stumble Inn,136 N. Park Avenue,Tucson,Arizona,USA
Sturges-Young Civic Center & Auditorium,201 N. Nottawa Steet,Sturgis,Michigan,USA
Sturgis Armory,1103 N. Centerville Road,Sturgis,Michigan,USA
Sturgis Buffalo Chip,20622 Fort Meade Way,Sturgis,South Dakota,USA
Subterranean,2011 W. North Avenue,Chicago,Illinois,USA
Subway,,Cologne,North Rhine-Westphalia,Germany
Sudbury Arena,240 Elgin Street,Sudbury,Ontario,Canada
Sudbury Armory,333 Riverside Drive,Sudbury,Ontario,Canada
Suds Factory,737 N. Huron Street,Ypsilanti,Michigan,USA
Sudsy Malone's,2626 Vine Street,Cincinnati,Ohio,USA
Südwestrundfunk TV Studio,,Baden-Baden,Baden-Württemberg,Germany
Suffolk Downs,525 William F McClellan Highway,Boston,Massachusetts,USA
Suffolk Forum,88 Veterans Memorial Highway,Commack,New York,USA
Sullivan Arena,1600,Anchorage,Alaska,USA
Sullivan Stadium,Washington Street,Foxborough,Massachusetts,USA
Sullivan's Black Forest,281 Heinlein Strasse,Frankenmuth,Michigan,USA
Sully's,22331 Newman Street,Dearborn,Michigan,USA
SummerFest,200 N. Harbor Drive,Milwaukee,Wisconsin,USA
Summit on the Park,46000 Summit Parkway,Canton,Michigan,USA
Sun Oil Recreation Center,1460 Woodville Road,Millbury,Ohio,USA
Sun Theatre,2200 E. Katella Avenue,Anaheim,California,USA
Sun Valley Speedway,1311 Martin Luther King Jr Boulevard,Anderson,Indiana,USA
Suncorp Stadium,40 Castlemaine Street,Milton,Queensland,Australia
Sundown Club,6507 Sunset Boulevard,Los Angeles,California,USA
Sunken Garden Theater,3875 N. St. Mary's Street,San Antonio,Texas,USA
Sunnie Wilson's Ballroom,704 E. Forest Avenue,Detroit,Michigan,USA
Sunnie Wilson's Celebrity Room,1239 Griswold Street,Detroit,Michigan,USA
Sunnie Wilson's Show Bar,710 E. Forest Avenue,Detroit,Michigan,USA
Sunrise Musical Theatre,5555 NW 95th Avenue,Sunrise,Florida,USA
Sunset Café,9101 Conant Street,Hamtramck,Michigan,USA
Sunset Terrace,873 Indiana Avenue,Indianapolis,Indiana,USA
Sunshine Community Church,3300 E Beltline Avenue NE,Grand Rapids,Michigan,USA
Sunshine Theater,120 Central Avenue SW,Albuquerque,New Mexico,USA
Sunshine-In,904 Kingsley Street,Asbury Park,New Jersey,USA
Sunwest Recording Studios,Sunset Boulevard,Hollywood,California,USA
SUNY Buffalo State College,1300 Elmwood Avenue,Buffalo,New York,USA
SUNY Fredonia,280 Central Avenue,Fredonia,New York,USA
SUNY Plattsburgh,23 Rugar Street,Plattsburgh,New York,USA
SUNY Ulster,491 Cottekill Road,Stony Ridge,New York,USA
Suomalainen Klubi,,Pori,Satakunta,Finland
Super Weekend Berthierville,Giroux Boulevard,Berthierville,Quebec,Canada
Superdome,1500 Sugar Bowl Drive,New Orleans,Louisiana,USA
Sure Thing,327 E. Michigan Avenue,Ypsilanti,Michigan,USA
Surf Ballroom,460 N. Shore Drive,Clear Lake,Iowa,USA
Surfside Cocktail Lounge,7909 E. Jefferson Avenue,Detroit,Michigan,USA
Surfwood Club,829 Tilden Street,Flint,Michigan,USA
Susquehanna Bank Center,1 Harbour Boulevard,Camden,New Jersey,USA
Sutherland Lounge,4659 S. Drexel Boulevard,Chicago,Illinois,USA
Swan Valley High School,8400 O'Hern Road,Saginaw,Michigan,USA
Sweet Basil,88 Seventh Avenue,NYC,New York,USA
Sweet Georgia Brown,1045 Brush Street,Detroit,Michigan,USA
Sweet's Ballroom,1933 Broadway,Oakland,California,USA
Sweetwater (MV),153 Throckmorton Avenue,Mill Valley,California,USA
Sweetwater's,170 Amsterdam Avenue,NYC,New York,USA
Swing Auditorium,E Street,San Bernadino,California,USA
Sydney Cricket Ground,Moore Park Road,Sydney,New South Wales,Australia
Sydney Entertainment Centre,35 Harbour Street,Sydney,New South Wales,Australia
Sydney Showground,Moore Park,Sydney,New South Wales,Australia
Syndrome,1400 Wabash Avenue,Chicago,Illinois,USA
Syria Mosque,4223 Bigelow Boulevard,Pittsburgh,Pennsylvania,USA
Systems Two Recording Studio,117 Ditmas Avenue,Brooklyn,New York,USA
T-Bird's,161 Riverside Drive,Windsor,Ontario,Canada
T. Lanfears Bar,1172 S. Lapeer Road,Lake Orion,Michigan,USA
T.C.'s Speakeasy,207 W. Michigan Avenue,Ypsilanti,Michigan,USA
T.K. Mining Company,585 N. State Street,Ukiah,California,USA
T.K.'s,11474 Jos. Campau Avenue,Hamtramck,Michigan,USA
T.T. The Bear's,10 Brookline Avenue,Cambridge,Massachusetts,USA
Tacoma Dome,2727 E. D Street,Tacoma,Washington,USA
Tad Smith Coliseum,Confederate Drive,Oxford,Mississippi,USA
Taft Coliseum,716 E. 17th Avenue,Columbus,Ohio,USA
Taft Theatre,317 E. Fifth Street,Cincinnati,Ohio,USA
Take 3,149 Bleecker Street,Greenwich Village,New York,USA
Talk of the Midlands,Mill Street,Derby,East Midlands,England
Talk of the Town,Charing Cross Road,London,Westminster,England
Talking Stick Resort,9800 E. Indian Bend Road,Scottsdale,Arizona,USA
Tallinn Song Festival Grounds,Narva maantee 95,Tallinn,Harju County,Estonia
Tampa Ice Palace,401 Channelside Drive,Tampa,Florida,USA
Tampa Jai Alai Fronton,5125 S. Dale Mabry Highway,Tampa,Florida,USA
Tampa Stadium,4201 N. Dale Mabry Highway,Tampa,Florida,USA
Tampa Theatre,711 N. Franklin Street,Tampa,Florida,USA
